	 Nb wait: 4	 time wait: 137.5
	 Nb wait: 3	 time wait: 91.9967
	 Nb wait: 3	 time wait: 165.335
	 Nb wait: 3	 time wait: 109.3
	 Nb wait: 1	 time wait: 76.2998
	 Nb wait: 3	 time wait: 106.902
	 Nb wait: 5	 time wait: 3.35126
	 Nb wait: 2	 time wait: 109.425
	 Nb wait: 3	 time wait: 96.8457
	 Nb wait: 2	 time wait: 135.056
